Word,Label,Label_num
(,O,17
4,O,17
),O,17
Includes,O,17
$,O,17
6.7,S-cy,19
billion,O,17
of,O,17
revenue,S-kpi,24
recognized,O,17
in,O,17
2021,O,17
that,O,17
was,O,17
included,O,17
in,O,17
deferred,O,17
revenue,O,17
as,O,17
of,O,17
September,O,17
26,O,17
",",O,17
2020,O,17
",",O,17
$,O,17
5.0,S-py,26
billion,O,17
of,O,17
revenue,O,17
recognized,O,17
in,O,17
2020,O,17
that,O,17
was,O,17
included,O,17
in,O,17
deferred,O,17
revenue,O,17
as,O,17
of,O,17
September,O,17
28,O,17
",",O,17
2019,O,17
",",O,17
and,O,17
$,O,17
5.9,S-py1,27
billion,O,17
of,O,17
revenue,O,17
recognized,O,17
in,O,17
2019,O,17
that,O,17
was,O,17
included,O,17
in,O,17
deferred,O,17
revenue,O,17
as,O,17
of,O,17
September,O,17
29,O,17
",",O,17
2018,O,17
.,O,17
(,O,17
3,O,17
),O,17
As,O,17
of,O,17
September,O,17
25,O,17
",",O,17
2021,O,17
and,O,17
September,O,17
26,O,17
",",O,17
2020,O,17
",",O,17
total,O,17
marketable,B-kpi,2
securities,E-kpi,8
included,O,17
$,O,17
17.9,S-cy,19
billion,O,17
and,O,17
$,O,17
18.6,S-py,26
billion,O,17
",",O,17
respectively,O,17
",",O,17
that,O,17
was,O,17
restricted,O,17
from,O,17
general,O,17
use,O,17
",",O,17
related,O,17
to,O,17
the,O,17
State,O,17
Aid,O,17
Decision,O,17
(,O,17
refer,O,17
to,O,17
Note,O,17
5,O,17
",",O,17
“,O,17
Income,O,17
Taxes,O,17
”,O,17
),O,17
and,O,17
other,O,17
agreements,O,17
.,O,17
Upon,O,17
adoption,O,17
",",O,17
the,O,17
Company,O,17
recorded,O,17
$,S-cy,19
7.5,O,17
billion,O,17
of,O,17
right-of-use,B-kpi,2
(,I-kpi,14
“,I-kpi,14
ROU,I-kpi,14
”,I-kpi,14
),I-kpi,14
assets,E-kpi,8
and,O,17
$,O,17
8.1,S-cy,19
billion,O,17
of,O,17
lease,B-kpi,2
liabilities,E-kpi,8
on,O,17
its,O,17
Condensed,O,17
Consolidated,O,17
Balance,O,17
Sheet,O,17
.,O,17
Upon,O,17
adoption,O,17
",",O,17
the,O,17
Company,O,17
recorded,O,17
a,O,17
$,O,17
136,S-increase,22
million,O,17
increase,O,17
in,O,17
accumulated,B-kpi,2
other,I-kpi,14
comprehensive,I-kpi,14
income/,I-kpi,14
(,I-kpi,14
loss,E-kpi,8
),O,17
(,O,17
“,O,17
AOCI,O,17
”,O,17
),O,17
and,O,17
a,O,17
corresponding,O,17
decrease,O,17
in,O,17
retained,O,17
earnings,O,17
in,O,17
the,O,17
Condensed,O,17
Consolidated,O,17
Statement,O,17
of,O,17
Shareholders,O,17
’,O,17
Equity,O,17
.,O,17
(,O,17
4,O,17
),O,17
Includes,O,17
$,O,17
5.0,S-cy,19
billion,O,17
of,O,17
revenue,S-kpi,24
recognized,O,17
in,O,17
2020,O,17
that,O,17
was,O,17
included,O,17
in,O,17
deferred,O,17
revenue,O,17
as,O,17
of,O,17
September,O,17
28,O,17
",",O,17
2019,O,17
",",O,17
$,O,17
5.9,O,17
billion,O,17
of,O,17
revenue,O,17
recognized,O,17
in,O,17
2019,O,17
that,O,17
was,O,17
included,O,17
in,O,17
deferred,O,17
revenue,O,17
as,O,17
of,O,17
September,O,17
29,O,17
",",O,17
2018,O,17
",",O,17
and,O,17
$,O,17
5.8,O,17
billion,O,17
of,O,17
revenue,O,17
recognized,O,17
in,O,17
2018,O,17
that,O,17
was,O,17
included,O,17
in,O,17
deferred,O,17
revenue,O,17
as,O,17
of,O,17
September,O,17
30,O,17
",",O,17
2017,O,17
.,O,17
(,O,17
3,O,17
),O,17
As,O,17
of,O,17
September,O,17
26,O,17
",",O,17
2020,O,17
and,O,17
September,O,17
28,O,17
",",O,17
2019,O,17
",",O,17
total,O,17
marketable,B-kpi,2
securities,E-kpi,8
included,O,17
$,O,17
18.6,S-cy,19
billion,O,17
and,O,17
$,O,17
18.9,S-py,26
billion,O,17
",",O,17
respectively,O,17
",",O,17
that,O,17
was,O,17
restricted,O,17
from,O,17
general,O,17
use,O,17
",",O,17
related,O,17
to,O,17
the,O,17
State,O,17
Aid,O,17
Decision,O,17
(,O,17
refer,O,17
to,O,17
Note,O,17
5,O,17
",",O,17
“,O,17
Income,O,17
Taxes,O,17
”,O,17
),O,17
and,O,17
other,O,17
agreements,O,17
.,O,17
Upon,O,17
adoption,O,17
",",O,17
the,O,17
Company,O,17
recorded,O,17
$,O,17
2.7,S-cy,19
billion,O,17
of,O,17
net,B-kpi,2
deferred,I-kpi,14
tax,I-kpi,14
assets,E-kpi,8
",",O,17
reduced,O,17
other,B-kpi,2
non-current,I-kpi,14
assets,E-kpi,8
by,O,17
$,O,17
128,S-cy,19
million,O,17
",",O,17
and,O,17
increased,O,17
retained,B-kpi,2
earnings,E-kpi,8
by,O,17
$,O,17
2.6,S-cy,19
billion,O,17
on,O,17
its,O,17
Consolidated,O,17
Balance,O,17
Sheet,O,17
.,O,17
The,O,17
allowance,B-kpi,2
for,I-kpi,14
credit,I-kpi,14
losses,E-kpi,8
was,O,17
$,O,17
262,S-cy,19
million,O,17
at,O,17
December,O,17
31,O,17
",",O,17
2020,O,17
.,O,17
Total,B-kpi,2
consideration,I-kpi,14
for,I-kpi,14
the,I-kpi,14
acquisition,I-kpi,14
of,I-kpi,14
Allergan,E-kpi,8
is,O,17
summarized,O,17
as,O,17
follows,O,17
:,O,17
(,O,17
a,O,17
),O,17
Represents,O,17
cash,O,17
consideration,O,17
transferred,O,17
of,O,17
$,O,17
120.30,S-cy,19
per,B-attr,0
outstanding,I-attr,12
Allergan,I-attr,12
ordinary,I-attr,12
share,E-attr,6
based,O,17
on,O,17
330,O,17
million,O,17
Allergan,O,17
ordinary,O,17
shares,O,17
outstanding,O,17
at,O,17
closing,O,17
.,O,17
(,O,17
a,O,17
),O,17
Fourth,O,17
quarter,O,17
results,O,17
in,O,17
2020,O,17
included,O,17
after-tax,B-kpi,2
charges,E-kpi,8
of,O,17
$,O,17
4.7,S-cy,19
billion,O,17
related,O,17
to,O,17
the,O,17
change,B-attr,0
in,I-attr,12
fair,I-attr,12
value,I-attr,12
of,I-attr,12
contingent,I-attr,12
consideration,I-attr,12
liabilities,E-attr,6
partially,O,17
offset,O,17
by,O,17
an,O,17
after-tax,B-thereof,5
benefit,E-thereof,11
of,O,17
$,O,17
1.5,S-cy,19
billion,O,17
due,O,17
to,O,17
impacts,B-attr,0
related,I-attr,12
to,I-attr,12
tax,I-attr,12
law,I-attr,12
changes,E-attr,6
.,O,17
Earnings,B-kpi,2
from,I-kpi,14
Continuing,I-kpi,14
Operations,I-kpi,14
allocated,I-kpi,14
to,I-kpi,14
common,I-kpi,14
shares,E-kpi,8
in,O,17
2020,O,17
",",O,17
2019,O,17
and,O,17
2018,O,17
were,O,17
$,O,17
4.449,S-cy,19
billion,O,17
",",O,17
$,O,17
3.666,S-py,26
billion,O,17
and,O,17
$,O,17
2.320,S-py1,27
billion,O,17
",",O,17
respectively,O,17
.,O,17
Net,B-kpi,2
earnings,I-kpi,14
allocated,I-kpi,14
to,I-kpi,14
common,I-kpi,14
shares,E-kpi,8
in,O,17
2020,O,17
",",O,17
2019,O,17
and,O,17
2018,O,17
were,O,17
$,O,17
4.473,S-cy,19
billion,O,17
",",O,17
$,O,17
3.666,S-py,26
billion,O,17
and,O,17
$,O,17
2.353,S-py1,27
billion,O,17
",",O,17
respectively,O,17
. ​,O,17
Earnings,B-kpi,2
from,I-kpi,14
Continuing,I-kpi,14
Operations,I-kpi,14
allocated,I-kpi,14
to,I-kpi,14
common,I-kpi,14
shares,E-kpi,8
in,O,17
2020,O,17
",",O,17
2019,O,17
and,O,17
2018,O,17
were,O,17
$,O,17
4.449,S-cy,19
billion,O,17
",",O,17
$,O,17
3.666,S-py,26
billion,O,17
and,O,17
$,O,17
2.320,S-py1,27
billion,O,17
",",O,17
respectively,O,17
.,O,17
Net,B-kpi,2
earnings,I-kpi,14
allocated,I-kpi,14
to,I-kpi,14
common,I-kpi,14
shares,E-kpi,8
in,O,17
2020,O,17
",",O,17
2019,O,17
and,O,17
