Words,NER Tag
2023,DATE
1.1,CARDINAL
31.12.2023,CARDINAL
1.1,CARDINAL
31.12.2022,CARDINAL
"3,421",CARDINAL
"2,099",CARDINAL
2.75,CARDINAL
1.68,CARDINAL
Consolidated,ORG
Commerzbank,ORG
"2,224",CARDINAL
"1,435",CARDINAL
Consolidated,ORG
Commerzbank,ORG
"2,030",CARDINAL
"1,245",CARDINAL
1.63,CARDINAL
0.99,CARDINAL
CET1 (%,ORG
13.7,CARDINAL
8.7,CARDINAL
loss² (%,ORG
7.7,CARDINAL
4.9,CARDINAL
57.4,CARDINAL
61.8,CARDINAL
61.4,CARDINAL
68.6,CARDINAL
31.12.2023,CARDINAL
31.12.2022¹,CARDINAL
517.2,CARDINAL
175.1,CARDINAL
168.7,CARDINAL
33.0,CARDINAL
30.9,CARDINAL
39.7,CARDINAL
37.8,CARDINAL
31.12.2023,CARDINAL
1,CARDINAL
16.5,CARDINAL
16.0,CARDINAL
Tier 1 ratio³,PRODUCT
14.7,CARDINAL
14.1,CARDINAL
"19.3
18.9",QUANTITY
4.9,CARDINAL
4.9,CARDINAL
31.12.2023,CARDINAL
Germany,GPE
"25,552",CARDINAL
"25,734",CARDINAL
"13,013",CARDINAL
"12,118",CARDINAL
"38,565",CARDINAL
"37,852",CARDINAL
31.12.2023,CARDINAL
Moody’s Investors Service,ORG
A1/A2,WORK_OF_ART
¹,CARDINAL
Prior-year,DATE
4,CARDINAL
IAS 8),ORG
Commerzbank,ORG
3,CARDINAL
Common Equity,ORG
CET1,ORG
⁵,CARDINAL
⁶,CARDINAL
Commerzbank,ORG
2,CARDINAL
22,CARDINAL
2,CARDINAL
the Board of Managing Directors,ORG
5,CARDINAL
The Board of Managing Directors,ORG
6,CARDINAL
the Supervisory Board,ORG
17,CARDINAL
the Supervisory Board,ORG
23,CARDINAL
182,CARDINAL
Art,PERSON
HGB,ORG
36,CARDINAL
Art,PERSON
Art,ORG
315,CARDINAL
4,CARDINAL
the German Commercial Code,ORG
HGB,ORG
42,CARDINAL
183,CARDINAL
215,CARDINAL
185,CARDINAL
Basis of the Commerzbank Group,ORG
191,CARDINAL
201,CARDINAL
201,CARDINAL
Small-Business Customers,ORG
203,CARDINAL
205,CARDINAL
216,CARDINAL
263,CARDINAL
218,CARDINAL
2023,CARDINAL
219,CARDINAL
227,CARDINAL
241,CARDINAL
245,CARDINAL
248,CARDINAL
256,CARDINAL
264,CARDINAL
412,CARDINAL
268,CARDINAL
269,CARDINAL
271,CARDINAL
272,CARDINAL
275,CARDINAL
276,CARDINAL
405,CARDINAL
the Board of Managing Directors,ORG
406,CARDINAL
Independent Auditor’s,ORG
413,CARDINAL
422,CARDINAL
414,CARDINAL
417,CARDINAL
Independent Auditor’s Limited Assurance,ORG
420,CARDINAL
Quarterly,DATE
422,CARDINAL
Five-year,DATE
2,CARDINAL
2023,DATE
Commerzbank,ORG
financial year,DATE
three years ago,DATE
Bank,ORG
"almost 10,000",CARDINAL
last year,DATE
two,CARDINAL
Commerzbank,ORG
almost 11 million,CARDINAL
Germany,GPE
Germany,GPE
German,NORP
Germany,GPE
Austria,GPE
Switzerland,GPE
tomorrow,DATE
Commerzbank,ORG
Mittelstandsbank,ORG
Germany,GPE
German,NORP
German,NORP
last year,DATE
two thirds,CARDINAL
2023 financial year,DATE
the past 15 years,DATE
3.4bn,MONEY
RoTE,ORG
7.7%,PERCENT
2024 a year earlier,DATE
61%,PERCENT
last year,DATE
2024,DATE
"the 
Board of Managing Directors",ORG
Frankfurt,GPE
March 2024,DATE
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
3,CARDINAL
the Board of Managing Directors,ORG
5,CARDINAL
Board of Managing Directors,ORG
the Supervisory Board,ORG
17,CARDINAL
the Supervisory Board,ORG
the year,DATE
Germany,GPE
Commerzbank,ORG
Tier 1,PRODUCT
14.7%,PERCENT
Germany,GPE
the past few years,DATE
German,NORP
Commerzbank,ORG
Bank,ORG
German,NORP
the beginning of last year,DATE
today,DATE
Bank,ORG
Last year,DATE
0.20,MONEY
122,MONEY
30%,PERCENT
50%,PERCENT
"the 
previous year",DATE
2024,DATE
up to €600,MONEY
ECB,ORG
the German Finance Agency,ORG
last December,DATE
10 January,DATE
the Board of Managing Directors,ORG
Supervisory Board,ORG
30 April 2024,DATE
2023 financial year,DATE
0.35,MONEY
Commerzbank,ORG
Commerzbank,ORG
"Board of 
Directors",ORG
Commerzbank,ORG
the past few years,DATE
last autumn,DATE
2027,DATE
the years ahead,DATE
two,CARDINAL
Small-Business Customers,ORG
Commerzbank’s Asset,ORG
